erddap_id,var_name,var_class
fk1994,basisOfRecord,character
fk1994,bottomType,character
fk1994,class,character
fk1994,country,character
fk1994,dataSetID,character
fk1994,datasetName,character
fk1994,depth,character
fk1994,dynamicProperties,logical
fk1994,eventDate,character
fk1994,eventDateRemarks,logical
fk1994,eventDateTimeZone,character
fk1994,family,character
fk1994,genus,character
fk1994,geodeticDatum,character
fk1994,habitat,character
fk1994,habitat_cd,character
fk1994,higherInstitutionCode,character
fk1994,institutionCode,character
fk1994,kingdom,logical
fk1994,latitude,character
fk1994,locality,logical
fk1994,longitude,character
fk1994,mapGridNumber,numeric
fk1994,mapNumber,numeric
fk1994,materialSampleID,logical
fk1994,maximumDepthInMeters,character
fk1994,minimumDepthInMeters,character
fk1994,observedMeanLengthInCm,character
fk1994,order,logical
fk1994,ownerInstitutionCode,logical
fk1994,phylum,logical
fk1994,primarySamplingUnit,logical
fk1994,protection,logical
fk1994,quantificationMethod,logical
fk1994,quantificationName,logical
fk1994,quantificationStatus,logical
fk1994,quantificationUnit,logical
fk1994,quantificationValue,numeric
fk1994,recordedBy,logical
fk1994,references,logical
fk1994,region,logical
fk1994,sampleRadiusInMeters,character
fk1994,scientificName,logical
fk1994,species_cd,logical
fk1994,species_nr,numeric
fk1994,stateProvince,logical
fk1994,station_nr,numeric
fk1994,subregion_nr,numeric
fk1994,taxonRank,logical
fk1994,time,character
fk1994,timeUncertainty,character
fk1994,underwaterVisibilityInMeters,numeric
fk1994,vernacularName,logical
fk1994,verticalDatum,logical
fk1994,waterBody,logical
fk1994,waterTemperatureInCelsius,character
fk1994,zone_nr,numeric
fk1995,basisOfRecord,character
fk1995,bottomType,character
fk1995,class,character
fk1995,country,character
fk1995,dataSetID,character
fk1995,datasetName,character
fk1995,depth,character
fk1995,dynamicProperties,logical
fk1995,eventDate,character
fk1995,eventDateRemarks,logical
fk1995,eventDateTimeZone,character
fk1995,family,character
fk1995,genus,character
fk1995,geodeticDatum,character
fk1995,habitat,character
fk1995,habitat_cd,character
fk1995,higherInstitutionCode,character
fk1995,institutionCode,character
fk1995,kingdom,character
fk1995,latitude,character
fk1995,locality,character
fk1995,longitude,character
fk1995,mapGridNumber,numeric
fk1995,mapNumber,numeric
fk1995,materialSampleID,character
fk1995,maximumDepthInMeters,character
fk1995,minimumDepthInMeters,character
fk1995,observedMeanLengthInCm,character
fk1995,order,character
fk1995,ownerInstitutionCode,character
fk1995,phylum,character
fk1995,primarySamplingUnit,character
fk1995,protection,logical
fk1995,quantificationMethod,character
fk1995,quantificationName,character
fk1995,quantificationStatus,character
fk1995,quantificationUnit,logical
fk1995,quantificationValue,numeric
fk1995,recordedBy,character
fk1995,references,character
fk1995,region,logical
fk1995,sampleRadiusInMeters,character
fk1995,scientificName,character
fk1995,species_cd,character
fk1995,species_nr,numeric
fk1995,stateProvince,character
fk1995,station_nr,numeric
fk1995,subregion_nr,numeric
fk1995,taxonRank,logical
fk1995,time,character
fk1995,timeUncertainty,character
fk1995,underwaterVisibilityInMeters,numeric
fk1995,vernacularName,character
fk1995,verticalDatum,logical
fk1995,waterBody,character
fk1995,waterTemperatureInCelsius,character
fk1995,zone_nr,numeric
fk1996,basisOfRecord,character
fk1996,bottomType,character
fk1996,class,character
fk1996,country,character
fk1996,dataSetID,character
fk1996,datasetName,character
fk1996,depth,character
fk1996,dynamicProperties,logical
fk1996,eventDate,character
fk1996,eventDateRemarks,logical
fk1996,eventDateTimeZone,character
fk1996,family,character
fk1996,genus,character
fk1996,geodeticDatum,character
fk1996,habitat,character
fk1996,habitat_cd,character
fk1996,higherInstitutionCode,character
fk1996,institutionCode,character
fk1996,kingdom,character
fk1996,latitude,character
fk1996,locality,character
fk1996,longitude,character
fk1996,mapGridNumber,numeric
fk1996,mapNumber,numeric
fk1996,materialSampleID,character
fk1996,maximumDepthInMeters,character
fk1996,minimumDepthInMeters,character
fk1996,observedMeanLengthInCm,character
fk1996,order,character
fk1996,ownerInstitutionCode,character
fk1996,phylum,character
fk1996,primarySamplingUnit,character
fk1996,protection,logical
fk1996,quantificationMethod,character
fk1996,quantificationName,character
fk1996,quantificationStatus,character
fk1996,quantificationUnit,logical
fk1996,quantificationValue,numeric
fk1996,recordedBy,character
fk1996,references,character
fk1996,region,logical
fk1996,sampleRadiusInMeters,character
fk1996,scientificName,character
fk1996,species_cd,character
fk1996,species_nr,numeric
fk1996,stateProvince,character
fk1996,station_nr,numeric
fk1996,subregion_nr,numeric
fk1996,taxonRank,logical
fk1996,time,character
fk1996,timeUncertainty,character
fk1996,underwaterVisibilityInMeters,numeric
fk1996,vernacularName,character
fk1996,verticalDatum,logical
fk1996,waterBody,character
fk1996,waterTemperatureInCelsius,character
fk1996,zone_nr,numeric
fk1997,basisOfRecord,character
fk1997,bottomType,character
fk1997,class,character
fk1997,country,character
fk1997,dataSetID,character
fk1997,datasetName,character
fk1997,depth,character
fk1997,dynamicProperties,logical
fk1997,eventDate,character
fk1997,eventDateRemarks,logical
fk1997,eventDateTimeZone,character
fk1997,family,character
fk1997,genus,character
fk1997,geodeticDatum,character
fk1997,habitat,logical
fk1997,habitat_cd,logical
fk1997,higherInstitutionCode,logical
fk1997,institutionCode,logical
fk1997,kingdom,logical
fk1997,latitude,character
fk1997,locality,logical
fk1997,longitude,character
fk1997,mapGridNumber,numeric
fk1997,mapNumber,numeric
fk1997,materialSampleID,logical
fk1997,maximumDepthInMeters,character
fk1997,minimumDepthInMeters,character
fk1997,observedMeanLengthInCm,character
fk1997,order,logical
fk1997,ownerInstitutionCode,logical
fk1997,phylum,logical
fk1997,primarySamplingUnit,logical
fk1997,protection,logical
fk1997,quantificationMethod,logical
fk1997,quantificationName,logical
fk1997,quantificationStatus,logical
fk1997,quantificationUnit,logical
fk1997,quantificationValue,numeric
fk1997,recordedBy,logical
fk1997,references,logical
fk1997,region,logical
fk1997,sampleRadiusInMeters,character
fk1997,scientificName,logical
fk1997,species_cd,logical
fk1997,species_nr,numeric
fk1997,stateProvince,logical
fk1997,station_nr,numeric
fk1997,subregion_nr,numeric
fk1997,taxonRank,logical
fk1997,time,character
fk1997,timeUncertainty,character
fk1997,underwaterVisibilityInMeters,numeric
fk1997,vernacularName,logical
fk1997,verticalDatum,logical
fk1997,waterBody,logical
fk1997,waterTemperatureInCelsius,character
fk1997,zone_nr,numeric
fk1998,basisOfRecord,character
fk1998,bottomType,character
fk1998,class,character
fk1998,country,character
fk1998,dataSetID,character
fk1998,datasetName,character
fk1998,depth,character
fk1998,dynamicProperties,logical
fk1998,eventDate,character
fk1998,eventDateRemarks,logical
fk1998,eventDateTimeZone,character
fk1998,family,character
fk1998,genus,character
fk1998,geodeticDatum,character
fk1998,habitat,character
fk1998,habitat_cd,character
fk1998,higherInstitutionCode,character
fk1998,institutionCode,character
fk1998,kingdom,character
fk1998,latitude,character
fk1998,locality,character
fk1998,longitude,character
fk1998,mapGridNumber,numeric
fk1998,mapNumber,numeric
fk1998,materialSampleID,character
fk1998,maximumDepthInMeters,character
fk1998,minimumDepthInMeters,character
fk1998,observedMeanLengthInCm,character
fk1998,order,character
fk1998,ownerInstitutionCode,character
fk1998,phylum,character
fk1998,primarySamplingUnit,character
fk1998,protection,logical
fk1998,quantificationMethod,character
fk1998,quantificationName,character
fk1998,quantificationStatus,character
fk1998,quantificationUnit,logical
fk1998,quantificationValue,numeric
fk1998,recordedBy,character
fk1998,references,character
fk1998,region,logical
fk1998,sampleRadiusInMeters,character
fk1998,scientificName,character
fk1998,species_cd,character
fk1998,species_nr,numeric
fk1998,stateProvince,character
fk1998,station_nr,numeric
fk1998,subregion_nr,numeric
fk1998,taxonRank,logical
fk1998,time,character
fk1998,timeUncertainty,character
fk1998,underwaterVisibilityInMeters,numeric
fk1998,vernacularName,character
fk1998,verticalDatum,logical
fk1998,waterBody,character
fk1998,waterTemperatureInCelsius,character
fk1998,zone_nr,numeric
fk1999,basisOfRecord,character
fk1999,bottomType,character
fk1999,class,character
fk1999,country,character
fk1999,dataSetID,character
fk1999,datasetName,character
fk1999,depth,character
fk1999,dynamicProperties,logical
fk1999,eventDate,character
fk1999,eventDateRemarks,logical
fk1999,eventDateTimeZone,character
fk1999,family,character
fk1999,genus,character
fk1999,geodeticDatum,character
fk1999,habitat,character
fk1999,habitat_cd,character
fk1999,higherInstitutionCode,character
fk1999,institutionCode,character
fk1999,kingdom,character
fk1999,latitude,character
fk1999,locality,character
fk1999,longitude,character
fk1999,mapGridNumber,numeric
fk1999,mapNumber,numeric
fk1999,materialSampleID,character
fk1999,maximumDepthInMeters,character
fk1999,minimumDepthInMeters,character
fk1999,observedMeanLengthInCm,character
fk1999,order,character
fk1999,ownerInstitutionCode,character
fk1999,phylum,character
fk1999,primarySamplingUnit,character
fk1999,protection,integer
fk1999,quantificationMethod,character
fk1999,quantificationName,character
fk1999,quantificationStatus,character
fk1999,quantificationUnit,logical
fk1999,quantificationValue,numeric
fk1999,recordedBy,character
fk1999,references,character
fk1999,region,character
fk1999,sampleRadiusInMeters,character
fk1999,scientificName,logical
fk1999,species_cd,logical
fk1999,species_nr,numeric
fk1999,stateProvince,logical
fk1999,station_nr,numeric
fk1999,subregion_nr,numeric
fk1999,taxonRank,logical
fk1999,time,character
fk1999,timeUncertainty,character
fk1999,underwaterVisibilityInMeters,numeric
fk1999,vernacularName,logical
fk1999,verticalDatum,logical
fk1999,waterBody,logical
fk1999,waterTemperatureInCelsius,character
fk1999,zone_nr,numeric
fk2000,basisOfRecord,character
fk2000,bottomType,character
fk2000,class,character
fk2000,country,character
fk2000,dataSetID,character
fk2000,datasetName,character
fk2000,depth,character
fk2000,dynamicProperties,logical
fk2000,eventDate,character
fk2000,eventDateRemarks,logical
fk2000,eventDateTimeZone,character
fk2000,family,character
fk2000,genus,character
fk2000,geodeticDatum,character
fk2000,habitat,logical
fk2000,habitat_cd,logical
fk2000,higherInstitutionCode,logical
fk2000,institutionCode,logical
fk2000,kingdom,logical
fk2000,latitude,character
fk2000,locality,logical
fk2000,longitude,character
fk2000,mapGridNumber,numeric
fk2000,mapNumber,numeric
fk2000,materialSampleID,logical
fk2000,maximumDepthInMeters,character
fk2000,minimumDepthInMeters,character
fk2000,observedMeanLengthInCm,character
fk2000,order,logical
fk2000,ownerInstitutionCode,logical
fk2000,phylum,logical
fk2000,primarySamplingUnit,logical
fk2000,protection,logical
fk2000,quantificationMethod,logical
fk2000,quantificationName,logical
fk2000,quantificationStatus,logical
fk2000,quantificationUnit,logical
fk2000,quantificationValue,numeric
fk2000,recordedBy,logical
fk2000,references,logical
fk2000,region,logical
fk2000,sampleRadiusInMeters,character
fk2000,scientificName,logical
fk2000,species_cd,logical
fk2000,species_nr,numeric
fk2000,stateProvince,logical
fk2000,station_nr,numeric
fk2000,subregion_nr,numeric
fk2000,taxonRank,logical
fk2000,time,character
fk2000,timeUncertainty,character
fk2000,underwaterVisibilityInMeters,numeric
fk2000,vernacularName,logical
fk2000,verticalDatum,logical
fk2000,waterBody,logical
fk2000,waterTemperatureInCelsius,character
fk2000,zone_nr,numeric
fk2001,basisOfRecord,character
fk2001,bottomType,character
fk2001,class,character
fk2001,country,character
fk2001,dataSetID,character
fk2001,datasetName,character
fk2001,depth,character
fk2001,dynamicProperties,logical
fk2001,eventDate,character
fk2001,eventDateRemarks,logical
fk2001,eventDateTimeZone,character
fk2001,family,character
fk2001,genus,character
fk2001,geodeticDatum,character
fk2001,habitat,character
fk2001,habitat_cd,character
fk2001,higherInstitutionCode,character
fk2001,institutionCode,character
fk2001,kingdom,character
fk2001,latitude,character
fk2001,locality,character
fk2001,longitude,character
fk2001,mapGridNumber,numeric
fk2001,mapNumber,numeric
fk2001,materialSampleID,character
fk2001,maximumDepthInMeters,character
fk2001,minimumDepthInMeters,character
fk2001,observedMeanLengthInCm,character
fk2001,order,character
fk2001,ownerInstitutionCode,character
fk2001,phylum,character
fk2001,primarySamplingUnit,character
fk2001,protection,integer
fk2001,quantificationMethod,character
fk2001,quantificationName,character
fk2001,quantificationStatus,character
fk2001,quantificationUnit,logical
fk2001,quantificationValue,numeric
fk2001,recordedBy,character
fk2001,references,character
fk2001,region,character
fk2001,sampleRadiusInMeters,character
fk2001,scientificName,character
fk2001,species_cd,character
fk2001,species_nr,numeric
fk2001,stateProvince,character
fk2001,station_nr,numeric
fk2001,subregion_nr,numeric
fk2001,taxonRank,logical
fk2001,time,character
fk2001,timeUncertainty,character
fk2001,underwaterVisibilityInMeters,numeric
fk2001,vernacularName,character
fk2001,verticalDatum,logical
fk2001,waterBody,character
fk2001,waterTemperatureInCelsius,character
fk2001,zone_nr,numeric
fk2003,basisOfRecord,character
fk2003,bottomType,character
fk2003,class,character
fk2003,country,character
fk2003,dataSetID,character
fk2003,datasetName,character
fk2003,depth,character
fk2003,dynamicProperties,logical
fk2003,eventDate,character
fk2003,eventDateRemarks,logical
fk2003,eventDateTimeZone,character
fk2003,family,character
fk2003,genus,character
fk2003,geodeticDatum,character
fk2003,habitat,logical
fk2003,habitat_cd,logical
fk2003,higherInstitutionCode,logical
fk2003,institutionCode,logical
fk2003,kingdom,logical
fk2003,latitude,character
fk2003,locality,logical
fk2003,longitude,character
fk2003,mapGridNumber,numeric
fk2003,mapNumber,numeric
fk2003,materialSampleID,logical
fk2003,maximumDepthInMeters,character
fk2003,minimumDepthInMeters,character
fk2003,observedMeanLengthInCm,character
fk2003,order,logical
fk2003,ownerInstitutionCode,logical
fk2003,phylum,logical
fk2003,primarySamplingUnit,logical
fk2003,protection,logical
fk2003,quantificationMethod,logical
fk2003,quantificationName,logical
fk2003,quantificationStatus,logical
fk2003,quantificationUnit,logical
fk2003,quantificationValue,numeric
fk2003,recordedBy,logical
fk2003,references,logical
fk2003,region,logical
fk2003,sampleRadiusInMeters,character
fk2003,scientificName,logical
fk2003,species_cd,logical
fk2003,species_nr,numeric
fk2003,stateProvince,logical
fk2003,station_nr,numeric
fk2003,subregion_nr,numeric
fk2003,taxonRank,logical
fk2003,time,character
fk2003,timeUncertainty,character
fk2003,underwaterVisibilityInMeters,numeric
fk2003,vernacularName,logical
fk2003,verticalDatum,logical
fk2003,waterBody,logical
fk2003,waterTemperatureInCelsius,character
